Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran
space,9.4401,space,7.8701,space,8.8464,space,35.9635,1,0,5.2531,0,0,0,3,1,Headphone/t2_2.wav,2,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,2.2929,0,1,1,4,1,Headphone/t3_1.wav,3,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,1,2.7909,0,2,2,1,1,Headphone/t1_2.wav,1,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,1.5181,0,3,3,5,1,Headphone/t3_2.wav,3,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,1.5447,0,4,4,2,1,Headphone/t2_1.wav,2,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,2.8089,0,5,5,0,1,Headphone/t1_1.wav,1,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,space,17.3807,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,0,0,0,0,1
,,,,,,,,1,0,1.2688,0,0,0,4,1,Headphone/t3_1.wav,3,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,2.4871,0,1,1,5,1,Headphone/t3_2.wav,3,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,0.8179,0,2,2,3,1,Headphone/t2_2.wav,2,5b13da851e55760001ba009a,2021-11-02_06h33.11.692,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
